Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S16W7,0.858,1.0,0.968,1.0
S16W8,0.882,1.0,0.996,1.0
S16W9,0.998,1.0,0.9926666666666667,1.0
S16W10,0.9766666666666667,1.0,0.030666666666666665,0.6866666666666666
S17W1,0.878,1.0,0.5206666666666667,0.21066666666666667
S17W2,0.9473333333333334,1.0,0.5846666666666667,0.5833333333333334
S17W3,0.7306666666666667,1.0,0.5686666666666667,1.0
S17W4,0.9566666666666667,1.0,0.974,1.0
S17W5,0.0,1.0,0.0,0.04933333333333333
S17W7,0.30266666666666664,1.0,0.04066666666666666,0.468
S17W8,0.9053333333333333,1.0,0.11666666666666667,0.338
S17W9,0.192,1.0,0.0,0.044
S17W10,0.9933333333333333,1.0,0.2886666666666667,0.38
S17W11,0.982,1.0,1.0,1.0
S18W1,0.844,1.0,0.020666666666666667,0.25133333333333335
S18W5,0.94,1.0,0.5013333333333333,0.44466666666666665
S18W6,0.7806666666666666,1.0,0.372,1.0
S18W7,0.938,1.0,1.0,1.0
S18W8,0.24,1.0,0.0,0.09933333333333333
S18W9,0.20066666666666666,1.0,0.028666666666666667,0.534
S18W10,1.0,1.0,0.14066666666666666,0.358
S19W1,0.0,1.0,0.0,0.011333333333333334
S19W2,0.3253333333333333,1.0,0.22733333333333333,0.6353333333333333
S19W3,0.966,1.0,0.9953333333333333,1.0
S19W4,0.23466666666666666,1.0,0.034,0.124
S19W6,0.634,1.0,0.020666666666666667,0.25733333333333336
S19W7,1.0,1.0,0.456,0.664
S19W8,0.8466666666666667,1.0,0.9813333333333333,1.0
S19W9,0.998,1.0,0.428,0.37733333333333335
S19W10,0.966,1.0,0.9966666666666667,1.0
S19W11,0.9853333333333333,1.0,1.0,1.0
S20W2,0.018666666666666668,1.0,0.0,0.035333333333333335
S20W3,0.9873333333333333,1.0,0.6786666666666666,1.0
S20W4,0.818,1.0,0.09066666666666667,0.3253333333333333
S20W5,0.6653333333333333,1.0,0.0033333333333333335,0.17
S20W6,0.524,1.0,0.146,0.704
S20W7,0.05266666666666667,1.0,0.0,0.016
S20W8,0.3353333333333333,1.0,0.020666666666666667,0.10933333333333334
S20W9,0.0,1.0,0.0,0.3006666666666667
S21W1,0.032,1.0,0.0,0.0006666666666666666
S21W2,0.8993333333333333,1.0,0.9873333333333333,1.0
S21W4,0.9486666666666667,1.0,0.9666666666666667,1.0
S21W6,0.8726666666666667,1.0,0.9866666666666667,1.0
S21W7,0.0,1.0,0.011333333333333334,0.332
S21W8,0.9453333333333334,1.0,0.998,1.0
S21W9,0.19,1.0,0.0,0.08133333333333333
S21W11,1.0,1.0,0.0,0.5153333333333333
S22W2,0.8566666666666667,1.0,0.9833333333333333,1.0
S22W3,0.9886666666666667,1.0,0.9966666666666667,1.0
S22W4,0.7233333333333334,1.0,0.296,0.22133333333333333
S22W6,0.89,1.0,0.994,1.0
S22W7,0.4673333333333333,1.0,0.035333333333333335,0.6926666666666667
S22W8,0.2833333333333333,1.0,0.0,0.18466666666666667
S22W9,0.0,1.0,0.0,0.0
S23W1,0.064,1.0,0.004666666666666667,0.12
S23W2,1.0,1.0,0.23733333333333334,0.5873333333333334
S23W3,0.9933333333333333,1.0,0.616,1.0
S23W4,0.362,1.0,0.006,0.31533333333333335
S23W6,0.9686666666666667,1.0,0.9993333333333333,1.0
S23W7,1.0,1.0,0.13933333333333334,0.564
S23W8,0.6253333333333333,1.0,0.07533333333333334,0.09266666666666666
S23W9,1.0,1.0,0.4146666666666667,1.0
S23W10,0.0,1.0,0.0,0.12933333333333333
S23W11,0.9553333333333334,1.0,0.9993333333333333,1.0
S24W2,0.7233333333333334,1.0,0.444,1.0
S24W3,1.0,1.0,0.348,1.0
S24W4,0.988,1.0,0.9946666666666667,1.0
