Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S11W5,0.8773333333333333,1.0,0.144,0.226
S11W6,0.004666666666666667,1.0,0.0,0.008666666666666666
S11W7,0.5926666666666667,1.0,0.037333333333333336,0.38533333333333336
S11W8,0.9046666666666666,1.0,0.17066666666666666,0.5213333333333333
S11W9,0.9846666666666667,1.0,0.008666666666666666,0.612
S12W2,0.9426666666666667,1.0,0.3446666666666667,1.0
S12W3,0.8926666666666667,1.0,0.9833333333333333,1.0
S12W4,0.9693333333333334,1.0,0.506,0.52
S12W5,0.806,1.0,0.168,1.0
S12W6,0.9166666666666666,1.0,0.9986666666666667,1.0
S12W7,0.36133333333333334,1.0,0.017333333333333333,0.42
S12W8,0.7873333333333333,1.0,0.3606666666666667,0.5006666666666667
S12W9,0.9893333333333333,1.0,0.9913333333333333,1.0
S13W1,0.946,1.0,0.9873333333333333,1.0
S13W2,0.5633333333333334,1.0,0.0,0.21866666666666668
S13W3,0.13733333333333334,1.0,0.024666666666666667,0.22333333333333333
S13W4,1.0,1.0,0.05466666666666667,0.714
S13W5,0.974,1.0,0.988,1.0
S13W6,0.9706666666666667,1.0,0.998,1.0
S13W7,0.9993333333333333,1.0,0.18,0.5133333333333333
S13W8,0.9653333333333334,1.0,0.9953333333333333,1.0
S13W9,0.8893333333333333,1.0,0.998,1.0
S14W2,0.924,1.0,0.9866666666666667,1.0
S14W3,1.0,1.0,0.03666666666666667,1.0
S14W4,0.9766666666666667,1.0,0.542,0.7493333333333333
S14W5,0.8913333333333333,1.0,0.9913333333333333,1.0
S14W6,0.88,1.0,0.9913333333333333,1.0
S14W7,0.998,1.0,0.2813333333333333,0.5553333333333333
S14W8,0.9973333333333333,1.0,1.0,1.0
S14W9,0.0,1.0,0.0,0.0
S15W1,0.9246666666666666,1.0,0.9866666666666667,1.0
S15W2,0.322,1.0,0.02,0.2946666666666667
S15W3,0.7626666666666667,1.0,0.16266666666666665,0.8113333333333334
S15W4,0.8326666666666667,1.0,0.3486666666666667,0.43533333333333335
S15W6,0.002,1.0,0.0,0.023333333333333334
S15W8,0.9926666666666667,1.0,0.9953333333333333,1.0
S15W9,0.994,1.0,1.0,1.0
S16W1,0.0,1.0,0.0,0.005333333333333333
S16W3,0.8773333333333333,1.0,0.99,1.0
S16W4,0.9053333333333333,1.0,0.778,1.0
S16W5,0.9786666666666667,1.0,0.4653333333333333,1.0
S16W6,0.974,1.0,0.996,1.0
S16W7,0.8446666666666667,1.0,0.964,1.0
S16W8,0.8793333333333333,1.0,0.9986666666666667,1.0
S16W9,0.9926666666666667,1.0,0.99,1.0
S16W10,0.9533333333333334,1.0,0.04,0.7073333333333334
S17W1,0.8966666666666666,1.0,0.5453333333333333,0.25533333333333336
S17W2,0.9486666666666667,1.0,0.592,0.59
S17W3,0.738,1.0,0.5953333333333334,1.0
S17W4,0.96,1.0,0.9726666666666667,1.0
S17W5,0.0,1.0,0.0,0.03266666666666666
S17W7,0.252,1.0,0.022,0.4513333333333333
S17W8,0.878,1.0,0.10733333333333334,0.30733333333333335
S17W9,0.19466666666666665,1.0,0.0,0.042
S17W10,0.996,1.0,0.30733333333333335,0.4106666666666667
S17W11,0.9733333333333334,1.0,1.0,1.0
S18W1,0.854,1.0,0.016,0.26866666666666666
S18W5,0.9393333333333334,1.0,0.5613333333333334,0.49933333333333335
S18W6,0.832,1.0,0.438,1.0
S18W7,0.9473333333333334,1.0,1.0,1.0
S18W8,0.21266666666666667,1.0,0.0,0.078
S18W9,0.212,1.0,0.03333333333333333,0.5753333333333334
S18W10,1.0,1.0,0.11533333333333333,0.33666666666666667
S19W1,0.0,1.0,0.0,0.010666666666666666
S19W2,0.3453333333333333,1.0,0.20333333333333334,0.6133333333333333
S19W3,0.9606666666666667,1.0,0.9926666666666667,1.0
S19W4,0.248,1.0,0.024666666666666667,0.14266666666666666
S19W6,0.6773333333333333,1.0,0.022,0.24
S19W7,1.0,1.0,0.43533333333333335,0.6466666666666666
S19W8,0.8453333333333334,1.0,0.9906666666666667,1.0
S19W9,0.9993333333333333,1.0,0.474,0.4013333333333333
S19W10,0.956,1.0,0.992,1.0
S19W11,0.98,1.0,1.0,1.0
S20W2,0.023333333333333334,1.0,0.0,0.03866666666666667
S20W3,0.9886666666666667,1.0,0.6326666666666667,1.0
S20W4,0.7993333333333333,1.0,0.096,0.3273333333333333
S20W5,0.6533333333333333,1.0,0.004666666666666667,0.15466666666666667
S20W6,0.534,1.0,0.142,0.7166666666666667
S20W7,0.04133333333333333,1.0,0.0,0.006666666666666667
S20W8,0.33466666666666667,1.0,0.014666666666666666,0.124
S20W9,0.0,1.0,0.0,0.2946666666666667
S21W1,0.06866666666666667,1.0,0.0,0.0026666666666666666
S21W2,0.9013333333333333,1.0,0.9853333333333333,1.0
S21W4,0.9513333333333334,1.0,0.9726666666666667,1.0
S21W6,0.846,1.0,0.9873333333333333,1.0
S21W7,0.0006666666666666666,1.0,0.008666666666666666,0.3453333333333333
S21W8,0.9473333333333334,1.0,0.9986666666666667,1.0
S21W9,0.17,1.0,0.0,0.07333333333333333
S21W11,1.0,1.0,0.0,0.538
S22W2,0.878,1.0,0.9833333333333333,1.0
S22W3,0.9873333333333333,1.0,0.998,1.0
S22W4,0.7113333333333334,1.0,0.2946666666666667,0.23066666666666666
S22W6,0.9013333333333333,1.0,0.9893333333333333,1.0
S22W7,0.5106666666666667,1.0,0.042666666666666665,0.7193333333333334
S22W8,0.33266666666666667,1.0,0.0,0.19733333333333333
S22W9,0.0,1.0,0.0,0.0
S23W1,0.04733333333333333,1.0,0.0033333333333333335,0.114
S23W2,1.0,1.0,0.20933333333333334,0.622
S23W3,0.9933333333333333,1.0,0.6853333333333333,1.0
S23W4,0.4266666666666667,1.0,0.018,0.36333333333333334
